Country Name,Country Code,2010,2011,2012,2013,2014,
Angola,AFG,20.60000038,20.89999962,19.70000076,21.10000038,20.79999924,
Albania,AGO,10.80000019,10.69999981,10.69999981,10.60000038,10.5,
Arab World,ALB,25.79999924,27,28.29999924,28.70000076,29.20000076,
United Arab Emirates,ARB,25.02221416,28.11751567,29.11321202,29.33530604,29.70456912,
Argentina,ARE,9.800000191,9.800000191,9.800000191,9.899999619,10,
Armenia,ARG,19.5,18.79999924,18.39999962,19.70000076,21.29999924,
Australia,ARM,38.29999924,38.70000076,35,32.5,35.09999847,
Austria,AUS,11.39999962,11.39999962,11.69999981,12.19999981,13.10000038,
Azerbaijan,AUT,8.800000191,8.199999809,8.699999809,9.100000382,9.199999809,
Burundi,AZE,14.60000038,14.5,14.30000019,13.39999962,13.60000038,
Belgium,BDI,10.80000019,10.80000019,10.80000019,10.80000019,10.69999981,
Benin,BEL,22.5,18.60000038,19.70000076,23.10000038,23.60000038,
Burkina Faso,BEN,2,2,2,1.799999952,1.700000048,
Bangladesh,BFA,5.199999809,5.300000191,5.199999809,5.199999809,5,
Bulgaria,BGD,8.199999809,8.199999809,8.199999809,8.899999619,9.100000382,
Bahrain,BGR,22.89999962,25.20000076,28.20000076,29.70000076,25.89999962,
"Bahamas, The",BHR,10.19999981,11.39999962,10.5,10.60000038,10.89999962,
Bosnia and Herzegovina,BHS,36,27.20000076,30.39999962,30.79999924,30.10000038,
Belarus,BIH,57.20000076,57.09999847,61.70000076,57.40000153,57.5,
Afghanistan,BLR,13.19999981,12.5,11.80000019,12,12,
